"","id_men","id_pers","id_depl","heuredep","mindep","heurearr","minarr","D12","motifor","NB_velo","VP_DISPO","duree","motifor1","deptime","arrtime","midtime","heuremid","nb_veh","cluster","rhour"
"20648",502058,502058001,5020580012,18,30,18,45,870,51,1,1,15,"LEI",2024-02-01 18:30:00,2024-02-01 18:45:00,2024-02-01 18:37:30,18,2,"1",1
"20649",502065,502065001,5020650011,11,0,11,30,27037,1,7,2,30,"DOM",2024-02-01 11:00:00,2024-02-01 11:30:00,2024-02-01 11:15:00,11,9,"2",0
"20650",502065,502065001,5020650012,12,0,12,30,23390,42,7,2,30,"SHO",2024-02-01 12:00:00,2024-02-01 12:30:00,2024-02-01 12:15:00,12,9,"2",0
"20651",502065,502065001,5020650013,21,0,21,30,23390,11,7,2,30,"DOM",2024-02-01 21:00:00,2024-02-01 21:30:00,2024-02-01 21:15:00,21,9,"2",0
"20652",502065,502065001,5020650014,21,35,22,0,27037,33,7,2,25,"SHO",2024-02-01 21:35:00,2024-02-01 22:00:00,2024-02-01 21:47:30,21,9,"2",0
"20653",502065,502065002,5020650021,7,40,7,50,7971,1,7,2,10,"DOM",2024-02-01 07:40:00,2024-02-01 07:50:00,2024-02-01 07:45:00,7,9,"2",1
"20654",502065,502065002,5020650022,7,50,8,0,8090,63,7,2,10,"ACC",2024-02-01 07:50:00,2024-02-01 08:00:00,2024-02-01 07:55:00,7,9,"2",1
"20655",502065,502065002,5020650023,8,15,8,25,3487,63,7,2,10,"ACC",2024-02-01 08:15:00,2024-02-01 08:25:00,2024-02-01 08:20:00,8,9,"2",1
"20656",502065,502065002,5020650024,8,25,8,28,633,63,7,2,3,"ACC",2024-02-01 08:25:00,2024-02-01 08:28:00,2024-02-01 08:26:30,8,9,"2",1
"20657",502065,502065002,5020650025,9,0,9,10,5802,33,7,2,10,"SHO",2024-02-01 09:00:00,2024-02-01 09:10:00,2024-02-01 09:05:00,9,9,"2",1
"20658",502065,502065002,5020650026,12,30,12,35,1716,11,7,2,5,"DOM",2024-02-01 12:30:00,2024-02-01 12:35:00,2024-02-01 12:32:30,12,9,"2",0
"20659",502065,502065002,5020650027,13,40,13,50,1716,1,7,2,10,"DOM",2024-02-01 13:40:00,2024-02-01 13:50:00,2024-02-01 13:45:00,13,9,"2",0
"20660",502065,502065002,5020650028,19,20,19,30,3412,11,7,2,10,"DOM",2024-02-01 19:20:00,2024-02-01 19:30:00,2024-02-01 19:25:00,19,9,"2",0
"20661",502065,502065002,5020650029,19,50,20,0,2685,62,7,2,10,"ACC",2024-02-01 19:50:00,2024-02-01 20:00:00,2024-02-01 19:55:00,19,9,"2",0
"20662",502065,502065003,5020650031,7,40,7,50,7971,1,7,2,10,"DOM",2024-02-01 07:40:00,2024-02-01 07:50:00,2024-02-01 07:45:00,7,9,"2",1
"20663",502065,502065003,5020650032,16,30,16,35,5291,23,7,2,5,"LYC",2024-02-01 16:30:00,2024-02-01 16:35:00,2024-02-01 16:32:30,16,9,"2",1
"20664",502065,502065003,5020650033,19,50,20,0,2685,54,7,2,10,"LEI",2024-02-01 19:50:00,2024-02-01 20:00:00,2024-02-01 19:55:00,19,9,"2",0
"20665",502065,502065004,5020650041,7,40,7,50,7971,1,7,2,10,"DOM",2024-02-01 07:40:00,2024-02-01 07:50:00,2024-02-01 07:45:00,7,9,"2",1
"20666",502065,502065004,5020650042,7,50,8,0,8090,63,7,2,10,"ACC",2024-02-01 07:50:00,2024-02-01 08:00:00,2024-02-01 07:55:00,7,9,"2",1
"20667",502065,502065004,5020650043,8,15,8,25,3487,63,7,2,10,"ACC",2024-02-01 08:15:00,2024-02-01 08:25:00,2024-02-01 08:20:00,8,9,"2",1
"20668",502065,502065004,5020650044,16,55,17,0,290,22,7,2,5,"PRI",2024-02-01 16:55:00,2024-02-01 17:00:00,2024-02-01 16:57:30,16,9,"2",1
"20669",502065,502065004,5020650045,19,50,20,0,2685,54,7,2,10,"LEI",2024-02-01 19:50:00,2024-02-01 20:00:00,2024-02-01 19:55:00,19,9,"2",0
"20670",502065,502065005,5020650051,7,40,7,50,7971,1,7,2,10,"DOM",2024-02-01 07:40:00,2024-02-01 07:50:00,2024-02-01 07:45:00,7,9,"2",1
"20671",502065,502065005,5020650052,7,50,8,0,8090,63,7,2,10,"ACC",2024-02-01 07:50:00,2024-02-01 08:00:00,2024-02-01 07:55:00,7,9,"2",1
"20672",502065,502065005,5020650053,8,15,8,25,3487,63,7,2,10,"ACC",2024-02-01 08:15:00,2024-02-01 08:25:00,2024-02-01 08:20:00,8,9,"2",1
"20673",502065,502065005,5020650054,16,55,17,0,290,22,7,2,5,"PRI",2024-02-01 16:55:00,2024-02-01 17:00:00,2024-02-01 16:57:30,16,9,"2",1
"20674",502065,502065005,5020650055,19,50,20,0,2685,54,7,2,10,"LEI",2024-02-01 19:50:00,2024-02-01 20:00:00,2024-02-01 19:55:00,19,9,"2",0
"20675",502069,502069001,5020690011,18,30,18,40,1947,1,0,1,10,"DOM",2024-02-01 18:30:00,2024-02-01 18:40:00,2024-02-01 18:35:00,18,1,"3",1
"20676",502069,502069001,5020690012,21,0,21,10,1947,54,0,1,10,"LEI",2024-02-01 21:00:00,2024-02-01 21:10:00,2024-02-01 21:05:00,21,1,"3",0
"20677",502069,502069002,5020690021,9,30,9,50,2391,1,0,1,20,"DOM",2024-02-01 09:30:00,2024-02-01 09:50:00,2024-02-01 09:40:00,9,1,"3",1
"20678",502069,502069002,5020690022,11,0,11,15,2391,41,0,1,15,"SHO",2024-02-01 11:00:00,2024-02-01 11:15:00,2024-02-01 11:07:30,11,1,"3",0
"20679",502069,502069002,5020690023,14,0,14,15,4020,1,0,1,15,"DOM",2024-02-01 14:00:00,2024-02-01 14:15:00,2024-02-01 14:07:30,14,1,"3",0
"20680",502069,502069002,5020690024,14,30,14,45,4020,31,0,1,15,"SHO",2024-02-01 14:30:00,2024-02-01 14:45:00,2024-02-01 14:37:30,14,1,"3",0
"20681",502069,502069002,5020690025,18,30,18,40,1947,1,0,1,10,"DOM",2024-02-01 18:30:00,2024-02-01 18:40:00,2024-02-01 18:35:00,18,1,"3",1
"20682",502069,502069002,5020690026,21,0,21,10,1947,54,0,1,10,"LEI",2024-02-01 21:00:00,2024-02-01 21:10:00,2024-02-01 21:05:00,21,1,"3",0
"20683",502072,502072001,5020720011,5,15,5,30,4198,1,1,2,15,"DOM",2024-02-01 05:15:00,2024-02-01 05:30:00,2024-02-01 05:22:30,5,3,"1",0
"20684",502072,502072001,5020720012,13,20,13,45,4198,11,1,2,25,"DOM",2024-02-01 13:20:00,2024-02-01 13:45:00,2024-02-01 13:32:30,13,3,"1",0
"20685",502072,502072001,5020720013,14,45,14,55,1004,1,1,2,10,"DOM",2024-02-01 14:45:00,2024-02-01 14:55:00,2024-02-01 14:50:00,14,3,"1",0
"20686",502072,502072001,5020720014,15,0,15,15,1004,62,1,2,15,"ACC",2024-02-01 15:00:00,2024-02-01 15:15:00,2024-02-01 15:07:30,15,3,"1",0
"20687",502072,502072002,5020720021,5,50,6,0,4198,11,1,2,10,"DOM",2024-02-01 05:50:00,2024-02-01 06:00:00,2024-02-01 05:55:00,5,3,"1",0
"20688",502072,502072002,5020720022,13,0,13,15,1004,1,1,2,15,"DOM",2024-02-01 13:00:00,2024-02-01 13:15:00,2024-02-01 13:07:30,13,3,"1",0
"20689",502072,502072002,5020720023,13,30,13,35,1009,63,1,2,5,"ACC",2024-02-01 13:30:00,2024-02-01 13:35:00,2024-02-01 13:32:30,13,3,"1",0
"20690",502072,502072002,5020720024,13,45,13,50,604,42,1,2,5,"SHO",2024-02-01 13:45:00,2024-02-01 13:50:00,2024-02-01 13:47:30,13,3,"1",0
"20691",502072,502072002,5020720025,20,30,20,40,4198,1,1,2,10,"DOM",2024-02-01 20:30:00,2024-02-01 20:40:00,2024-02-01 20:35:00,20,3,"1",0
"20692",502072,502072003,5020720031,13,0,13,15,1004,1,1,2,15,"DOM",2024-02-01 13:00:00,2024-02-01 13:15:00,2024-02-01 13:07:30,13,3,"1",0
"20693",502072,502072003,5020720032,15,0,15,15,1004,51,1,2,15,"LEI",2024-02-01 15:00:00,2024-02-01 15:15:00,2024-02-01 15:07:30,15,3,"1",0
"20694",502072,502072004,5020720041,13,0,13,15,1004,1,1,2,15,"DOM",2024-02-01 13:00:00,2024-02-01 13:15:00,2024-02-01 13:07:30,13,3,"1",0
"20695",502072,502072004,5020720042,13,30,13,35,1009,63,1,2,5,"ACC",2024-02-01 13:30:00,2024-02-01 13:35:00,2024-02-01 13:32:30,13,3,"1",0
"20696",502072,502072004,5020720043,13,45,13,50,604,61,1,2,5,"ACC",2024-02-01 13:45:00,2024-02-01 13:50:00,2024-02-01 13:47:30,13,3,"1",0
"20697",502072,502072005,5020720051,13,0,13,15,1004,1,1,2,15,"DOM",2024-02-01 13:00:00,2024-02-01 13:15:00,2024-02-01 13:07:30,13,3,"1",0
"20698",502072,502072005,5020720052,13,30,13,35,1009,63,1,2,5,"ACC",2024-02-01 13:30:00,2024-02-01 13:35:00,2024-02-01 13:32:30,13,3,"1",0
"20699",502072,502072005,5020720053,13,45,13,50,604,61,1,2,5,"ACC",2024-02-01 13:45:00,2024-02-01 13:50:00,2024-02-01 13:47:30,13,3,"1",0
"20700",502073,502073001,5020730011,6,25,7,35,25403,1,4,2,70,"DOM",2024-02-01 06:25:00,2024-02-01 07:35:00,2024-02-01 07:00:00,7,6,"2",1
"20701",502073,502073001,5020730011,6,25,7,35,25403,1,4,2,70,"DOM",2024-02-01 06:25:00,2024-02-01 07:35:00,2024-02-01 07:00:00,7,6,"2",1
"20702",502073,502073001,5020730011,6,25,7,35,25403,1,4,2,70,"DOM",2024-02-01 06:25:00,2024-02-01 07:35:00,2024-02-01 07:00:00,7,6,"2",1
"20703",502073,502073001,5020730012,17,5,18,20,25403,11,4,2,75,"DOM",2024-02-01 17:05:00,2024-02-01 18:20:00,2024-02-01 17:42:30,17,6,"2",1
"20704",502073,502073001,5020730012,17,5,18,20,25403,11,4,2,75,"DOM",2024-02-01 17:05:00,2024-02-01 18:20:00,2024-02-01 17:42:30,17,6,"2",1
"20705",502073,502073001,5020730012,17,5,18,20,25403,11,4,2,75,"DOM",2024-02-01 17:05:00,2024-02-01 18:20:00,2024-02-01 17:42:30,17,6,"2",1
"20706",502073,502073001,5020730013,18,30,18,35,1429,1,4,2,5,"DOM",2024-02-01 18:30:00,2024-02-01 18:35:00,2024-02-01 18:32:30,18,6,"2",1
"20707",502073,502073001,5020730014,19,0,19,5,1429,33,4,2,5,"SHO",2024-02-01 19:00:00,2024-02-01 19:05:00,2024-02-01 19:02:30,19,6,"2",0
"20708",502073,502073002,5020730021,11,0,11,3,238,1,4,2,3,"DOM",2024-02-01 11:00:00,2024-02-01 11:03:00,2024-02-01 11:01:30,11,6,"2",0
"20709",502073,502073002,5020730022,11,15,11,18,238,54,4,2,3,"LEI",2024-02-01 11:15:00,2024-02-01 11:18:00,2024-02-01 11:16:30,11,6,"2",0
"20710",502073,502073003,5020730031,7,30,7,35,1716,1,4,2,5,"DOM",2024-02-01 07:30:00,2024-02-01 07:35:00,2024-02-01 07:32:30,7,6,"2",1
"20711",502073,502073003,5020730032,7,37,7,50,753,33,4,2,13,"SHO",2024-02-01 07:37:00,2024-02-01 07:50:00,2024-02-01 07:43:30,7,6,"2",1
"20712",502073,502073003,5020730033,18,0,18,15,1954,24,4,2,15,"LYC",2024-02-01 18:00:00,2024-02-01 18:15:00,2024-02-01 18:07:30,18,6,"2",1
"20713",502075,502075001,5020750011,7,15,7,20,2762,1,1,1,5,"DOM",2024-02-01 07:15:00,2024-02-01 07:20:00,2024-02-01 07:17:30,7,2,"1",1
"20714",502075,502075001,5020750012,12,0,12,5,2762,11,1,1,5,"DOM",2024-02-01 12:00:00,2024-02-01 12:05:00,2024-02-01 12:02:30,12,2,"1",0
"20715",502075,502075001,5020750013,13,15,13,20,2762,1,1,1,5,"DOM",2024-02-01 13:15:00,2024-02-01 13:20:00,2024-02-01 13:17:30,13,2,"1",0
"20716",502075,502075001,5020750014,18,30,18,35,2762,11,1,1,5,"DOM",2024-02-01 18:30:00,2024-02-01 18:35:00,2024-02-01 18:32:30,18,2,"1",1
"20717",502076,502076001,5020760011,14,15,14,20,604,1,1,2,5,"DOM",2024-02-01 14:15:00,2024-02-01 14:20:00,2024-02-01 14:17:30,14,3,"1",0
"20718",502076,502076001,5020760012,14,25,14,30,604,42,1,2,5,"SHO",2024-02-01 14:25:00,2024-02-01 14:30:00,2024-02-01 14:27:30,14,3,"1",0
"20719",502076,502076001,5020760013,14,45,14,55,1183,1,1,2,10,"DOM",2024-02-01 14:45:00,2024-02-01 14:55:00,2024-02-01 14:50:00,14,3,"1",0
"20720",502076,502076001,5020760014,18,20,18,30,1183,11,1,2,10,"DOM",2024-02-01 18:20:00,2024-02-01 18:30:00,2024-02-01 18:25:00,18,3,"1",1
"20721",502076,502076002,5020760021,8,10,9,15,19357,1,1,2,65,"DOM",2024-02-01 08:10:00,2024-02-01 09:15:00,2024-02-01 08:42:30,8,3,"1",1
"20722",502076,502076002,5020760021,8,10,9,15,19357,1,1,2,65,"DOM",2024-02-01 08:10:00,2024-02-01 09:15:00,2024-02-01 08:42:30,8,3,"1",1
"20723",502076,502076002,5020760021,8,10,9,15,19357,1,1,2,65,"DOM",2024-02-01 08:10:00,2024-02-01 09:15:00,2024-02-01 08:42:30,8,3,"1",1
"20724",502076,502076002,5020760022,12,30,12,45,2822,11,1,2,15,"DOM",2024-02-01 12:30:00,2024-02-01 12:45:00,2024-02-01 12:37:30,12,3,"1",0
